,file_name,real_age
0,004673.jpg,30
1,005048.jpg,37
2,002914.jpg,4
3,002705.jpg,21
4,002496.jpg,22
5,000952.jpg,20
6,001607.jpg,22
7,004752.jpg,22
8,005137.jpg,17
9,005582.jpg,14
10,005194.jpg,44
11,003743.jpg,21
12,001057.jpg,33
13,004601.jpg,19
14,000317.jpg,35
15,002398.jpg,25
16,000761.jpg,39
17,002508.jpg,28
18,001491.jpg,29
19,001877.jpg,43
20,001554.jpg,43
21,001450.jpg,40
22,004266.jpg,39
23,007324.jpg,39
24,004584.jpg,39
25,000325.jpg,35
26,000268.jpg,28
27,003483.jpg,19
28,003541.jpg,24
29,000035.jpg,16
30,006870.jpg,34
31,005651.jpg,21
32,007545.jpg,75
33,001460.jpg,41
34,003452.jpg,24
35,002964.jpg,26
36,003087.jpg,27
37,003779.jpg,31
38,006123.jpg,46
39,004560.jpg,25
40,004213.jpg,65
41,001517.jpg,23
42,000590.jpg,50
43,004740.jpg,34
44,000918.jpg,18
45,003330.jpg,51
46,005978.jpg,37
47,003862.jpg,77
48,006437.jpg,42
49,000169.jpg,21
50,003673.jpg,35
51,007567.jpg,35
52,006091.jpg,55
53,001964.jpg,37
54,006681.jpg,32
55,006711.jpg,44
56,002500.jpg,44
57,002840.jpg,26
58,006408.jpg,43
59,006986.jpg,36
60,002594.jpg,35
61,005138.jpg,32
62,003181.jpg,46
63,002284.jpg,51
64,001786.jpg,50
65,003413.jpg,17
66,004849.jpg,25
67,006985.jpg,46
68,003296.jpg,22
69,001063.jpg,25
70,006791.jpg,36
71,002342.jpg,23
72,000215.jpg,17
73,004034.jpg,41
74,006311.jpg,48
75,002332.jpg,40
76,001145.jpg,6
77,001848.jpg,30
78,005389.jpg,40
79,001540.jpg,23
80,003355.jpg,47
81,000208.jpg,18
82,003736.jpg,41
83,002620.jpg,30
84,002952.jpg,30
85,000888.jpg,52
86,004687.jpg,16
87,004589.jpg,45
88,003466.jpg,38
89,003688.jpg,38
90,001660.jpg,21
91,002444.jpg,34
92,006242.jpg,27
93,001625.jpg,28
94,002502.jpg,27
95,001084.jpg,38
96,005410.jpg,36
97,001088.jpg,42
98,003080.jpg,34
99,006221.jpg,65
100,003167.jpg,19
101,002476.jpg,21
102,000845.jpg,17
103,004837.jpg,63
104,002440.jpg,30
105,004277.jpg,35
106,002032.jpg,31
107,006851.jpg,17
108,001808.jpg,27
109,007336.jpg,31
110,005485.jpg,28
111,004803.jpg,28
112,004983.jpg,33
113,006350.jpg,45
114,005705.jpg,43
115,001366.jpg,38
116,001133.jpg,65
117,004669.jpg,31
118,004883.jpg,41
119,003487.jpg,76
120,005343.jpg,16
121,004194.jpg,23
122,001606.jpg,41
123,004538.jpg,42
124,001212.jpg,40
125,000505.jpg,34
126,001392.jpg,36
127,005069.jpg,31
128,005492.jpg,59
129,006699.jpg,43
130,005555.jpg,56
131,006697.jpg,34
132,004365.jpg,33
133,005292.jpg,38
134,006882.jpg,40
135,004331.jpg,16
136,003689.jpg,20
137,005001.jpg,26
138,002370.jpg,25
139,000616.jpg,7
140,001804.jpg,54
141,000782.jpg,34
142,004320.jpg,59
143,003076.jpg,25
144,002055.jpg,20
145,000979.jpg,17
146,005074.jpg,19
147,005665.jpg,35
148,006227.jpg,26
149,000895.jpg,35
150,003327.jpg,41
151,004271.jpg,34
152,000731.jpg,21
153,005463.jpg,38
154,006351.jpg,39
155,003820.jpg,39
156,000933.jpg,46
157,001635.jpg,46
158,002185.jpg,26
159,001014.jpg,54
160,005795.jpg,53
161,007370.jpg,32
162,000491.jpg,26
163,002932.jpg,41
164,006371.jpg,30
165,003097.jpg,26
166,006619.jpg,36
167,004071.jpg,23
168,003915.jpg,24
169,000332.jpg,16
170,001376.jpg,30
171,004031.jpg,33
172,003719.jpg,13
173,001327.jpg,16
174,001056.jpg,17
175,001826.jpg,39
176,006105.jpg,34
177,002235.jpg,46
178,005591.jpg,73
179,001153.jpg,12
180,002351.jpg,42
181,005015.jpg,37
182,004900.jpg,47
183,004302.jpg,35
184,003829.jpg,23
185,001154.jpg,32
186,005186.jpg,20
187,005226.jpg,43
188,001674.jpg,20
189,005448.jpg,48
190,003886.jpg,55
191,003952.jpg,24
192,002763.jpg,45
193,006112.jpg,36
194,005377.jpg,38
195,005945.jpg,54
196,003527.jpg,44
197,006348.jpg,35
198,005398.jpg,28
199,004144.jpg,76
200,003119.jpg,34
201,003530.jpg,15
202,003947.jpg,35
203,000495.jpg,33
204,005007.jpg,39
205,003819.jpg,21
206,002647.jpg,50
207,004230.jpg,30
208,003096.jpg,38
209,005704.jpg,27
210,002753.jpg,33
211,004569.jpg,15
212,005403.jpg,32
213,001404.jpg,22
214,003439.jpg,41
215,006830.jpg,30
216,002234.jpg,30
217,005241.jpg,26
218,000449.jpg,38
219,000006.jpg,24
220,006457.jpg,44
221,005040.jpg,33
222,003366.jpg,16
223,003554.jpg,45
224,001150.jpg,38
225,007202.jpg,42
226,002996.jpg,47
227,003804.jpg,33
228,003525.jpg,48
229,000588.jpg,36
230,001559.jpg,13
231,000955.jpg,20
232,006435.jpg,30
233,000486.jpg,25
234,001846.jpg,31
235,005760.jpg,52
236,006340.jpg,49
237,002666.jpg,34
238,001966.jpg,27
239,002142.jpg,67
240,005810.jpg,66
241,006764.jpg,58
242,003877.jpg,35
243,005551.jpg,22
244,006611.jpg,55
245,001457.jpg,47
246,005960.jpg,35
247,004006.jpg,28
248,005934.jpg,26
249,000540.jpg,19
250,000181.jpg,14
251,002846.jpg,65
252,005834.jpg,53
253,000562.jpg,19
254,002222.jpg,25
255,000738.jpg,41
256,000274.jpg,44
257,000963.jpg,18
258,004156.jpg,45
259,006967.jpg,43
260,000894.jpg,29
261,000191.jpg,55
262,001538.jpg,37
263,002292.jpg,55
264,004376.jpg,33
265,005510.jpg,48
266,000205.jpg,34
267,002768.jpg,28
268,002605.jpg,47
269,007182.jpg,30
270,000703.jpg,34
271,005418.jpg,38
272,001619.jpg,45
273,003273.jpg,22
274,005068.jpg,16
275,005371.jpg,30
276,001949.jpg,27
277,002928.jpg,45
