,index,file_name,age_min,age_max
0,0,004673.jpg,26.0,34.0
1,1,005048.jpg,36.0,44.0
2,2,002914.jpg,3.0,7.0
3,3,002705.jpg,19.0,25.0
4,4,002496.jpg,24.0,32.0
5,5,000952.jpg,19.0,25.0
6,6,001607.jpg,20.0,28.0
7,7,004752.jpg,19.0,23.0
8,8,005137.jpg,23.0,31.0
9,9,005582.jpg,11.0,17.0
10,10,005194.jpg,42.0,50.0
11,11,003743.jpg,19.0,23.0
12,12,001057.jpg,31.0,39.0
13,13,004601.jpg,13.0,19.0
14,14,000317.jpg,31.0,39.0
15,15,002398.jpg,13.0,21.0
16,16,000761.jpg,29.0,37.0
17,17,002508.jpg,25.0,
18,18,001491.jpg,29.0,37.0
19,19,001877.jpg,39.0,47.0
20,20,001554.jpg,28.0,36.0
21,21,001450.jpg,32.0,40.0
22,22,004266.jpg,34.0,42.0
23,23,007324.jpg,42.0,50.0
24,24,004584.jpg,26.0,34.0
25,25,000325.jpg,27.0,35.0
26,26,000268.jpg,19.0,25.0
27,27,003483.jpg,26.0,34.0
28,28,003541.jpg,19.0,25.0
29,29,000035.jpg,12.0,18.0
30,30,006870.jpg,29.0,37.0
31,31,005651.jpg,18.0,22.0
32,32,007545.jpg,63.0,71.0
33,33,001460.jpg,46.0,54.0
34,35,002964.jpg,19.0,
35,36,003087.jpg,22.0,30.0
36,37,003779.jpg,29.0,37.0
37,38,006123.jpg,36.0,44.0
38,39,004560.jpg,30.0,38.0
39,40,004213.jpg,57.0,65.0
40,41,001517.jpg,19.0,25.0
41,42,000590.jpg,39.0,47.0
42,43,004740.jpg,29.0,37.0
43,44,000918.jpg,14.0,22.0
44,45,003330.jpg,47.0,55.0
45,46,005978.jpg,32.0,40.0
46,47,003862.jpg,64.0,72.0
47,48,006437.jpg,46.0,54.0
48,49,000169.jpg,23.0,31.0
49,50,003673.jpg,31.0,39.0
50,51,007567.jpg,30.0,
51,52,006091.jpg,57.0,65.0
52,53,001964.jpg,21.0,29.0
53,55,006711.jpg,37.0,45.0
54,56,002500.jpg,36.0,44.0
55,57,002840.jpg,23.0,31.0
56,59,006986.jpg,23.0,31.0
57,60,002594.jpg,33.0,41.0
58,61,005138.jpg,29.0,37.0
59,62,003181.jpg,44.0,52.0
60,63,002284.jpg,54.0,
61,64,001786.jpg,46.0,54.0
62,65,003413.jpg,14.0,22.0
63,66,004849.jpg,20.0,28.0
64,67,006985.jpg,48.0,56.0
65,68,003296.jpg,21.0,29.0
66,69,001063.jpg,29.0,37.0
67,70,006791.jpg,30.0,38.0
68,71,002342.jpg,29.0,37.0
69,72,000215.jpg,13.0,19.0
70,73,004034.jpg,29.0,37.0
71,74,006311.jpg,44.0,52.0
72,75,002332.jpg,37.0,45.0
73,76,001145.jpg,1.0,7.0
74,77,001848.jpg,27.0,35.0
75,78,005389.jpg,40.0,48.0
76,79,001540.jpg,19.0,23.0
77,80,003355.jpg,40.0,48.0
78,81,000208.jpg,16.0,22.0
79,82,003736.jpg,,43.0
80,83,002620.jpg,26.0,34.0
81,84,002952.jpg,28.0,36.0
82,85,000888.jpg,43.0,51.0
83,86,004687.jpg,14.0,22.0
84,87,004589.jpg,28.0,36.0
85,88,003466.jpg,34.0,42.0
86,89,003688.jpg,22.0,30.0
87,90,001660.jpg,13.0,21.0
88,91,002444.jpg,19.0,27.0
89,93,001625.jpg,,28.0
90,94,002502.jpg,22.0,30.0
91,95,001084.jpg,23.0,31.0
92,96,005410.jpg,34.0,42.0
93,97,001088.jpg,31.0,39.0
94,98,003080.jpg,25.0,33.0
95,99,006221.jpg,57.0,
96,100,003167.jpg,16.0,22.0
97,102,000845.jpg,19.0,23.0
98,103,004837.jpg,53.0,61.0
99,104,002440.jpg,22.0,30.0
100,105,004277.jpg,27.0,35.0
101,107,006851.jpg,13.0,21.0
102,108,001808.jpg,22.0,30.0
103,109,007336.jpg,32.0,40.0
104,110,005485.jpg,19.0,25.0
105,111,004803.jpg,22.0,30.0
106,112,004983.jpg,27.0,35.0
107,113,006350.jpg,48.0,56.0
108,114,005705.jpg,,50.0
109,115,001366.jpg,20.0,28.0
110,116,001133.jpg,58.0,66.0
111,117,004669.jpg,26.0,34.0
112,118,004883.jpg,33.0,41.0
113,119,003487.jpg,59.0,67.0
114,120,005343.jpg,13.0,21.0
115,121,004194.jpg,21.0,29.0
116,122,001606.jpg,41.0,49.0
117,123,004538.jpg,32.0,40.0
118,124,001212.jpg,37.0,45.0
119,125,000505.jpg,26.0,34.0
120,126,001392.jpg,22.0,30.0
121,127,005069.jpg,27.0,35.0
122,128,005492.jpg,59.0,67.0
123,129,006699.jpg,42.0,50.0
124,130,005555.jpg,43.0,51.0
125,131,006697.jpg,36.0,44.0
126,132,004365.jpg,22.0,30.0
127,133,005292.jpg,34.0,42.0
128,134,006882.jpg,32.0,40.0
129,135,004331.jpg,16.0,22.0
130,136,003689.jpg,14.0,22.0
131,138,002370.jpg,19.0,23.0
132,139,000616.jpg,11.0,17.0
133,140,001804.jpg,54.0,62.0
134,141,000782.jpg,30.0,38.0
135,142,004320.jpg,53.0,61.0
136,143,003076.jpg,32.0,40.0
137,144,002055.jpg,14.0,22.0
138,145,000979.jpg,13.0,21.0
139,146,005074.jpg,19.0,25.0
140,147,005665.jpg,24.0,32.0
141,148,006227.jpg,25.0,33.0
142,149,000895.jpg,26.0,34.0
143,150,003327.jpg,36.0,44.0
144,151,004271.jpg,12.0,18.0
145,152,000731.jpg,26.0,34.0
146,153,005463.jpg,39.0,47.0
147,154,006351.jpg,34.0,42.0
148,155,003820.jpg,32.0,40.0
149,156,000933.jpg,34.0,42.0
150,157,001635.jpg,43.0,51.0
151,158,002185.jpg,21.0,29.0
152,159,001014.jpg,58.0,66.0
153,160,005795.jpg,54.0,64.0
154,161,007370.jpg,36.0,44.0
155,162,000491.jpg,23.0,31.0
156,163,002932.jpg,33.0,41.0
157,164,006371.jpg,33.0,41.0
158,165,003097.jpg,28.0,36.0
159,166,006619.jpg,35.0,43.0
160,167,004071.jpg,19.0,25.0
161,168,003915.jpg,25.0,33.0
162,169,000332.jpg,21.0,29.0
163,170,001376.jpg,31.0,39.0
164,171,004031.jpg,31.0,39.0
165,172,003719.jpg,12.0,18.0
166,173,001327.jpg,18.0,22.0
167,174,001056.jpg,11.0,17.0
168,176,006105.jpg,29.0,37.0
169,177,002235.jpg,48.0,56.0
170,178,005591.jpg,64.0,72.0
171,179,001153.jpg,9.0,17.0
172,180,002351.jpg,27.0,35.0
173,181,005015.jpg,39.0,47.0
174,182,004900.jpg,54.0,64.0
175,183,004302.jpg,37.0,45.0
176,184,003829.jpg,34.0,42.0
177,185,001154.jpg,31.0,39.0
178,186,005186.jpg,19.0,23.0
179,187,005226.jpg,37.0,45.0
180,188,001674.jpg,13.0,19.0
181,189,005448.jpg,33.0,41.0
182,190,003886.jpg,46.0,54.0
183,191,003952.jpg,22.0,30.0
184,192,002763.jpg,32.0,40.0
185,193,006112.jpg,34.0,42.0
186,194,005377.jpg,41.0,49.0
187,195,005945.jpg,62.0,70.0
188,196,003527.jpg,30.0,38.0
189,197,006348.jpg,33.0,41.0
190,198,005398.jpg,26.0,34.0
191,199,004144.jpg,59.0,67.0
192,200,003119.jpg,28.0,36.0
193,201,003530.jpg,21.0,29.0
194,202,003947.jpg,28.0,36.0
195,203,000495.jpg,19.0,27.0
196,204,005007.jpg,26.0,34.0
197,205,003819.jpg,28.0,36.0
198,206,002647.jpg,43.0,51.0
199,207,004230.jpg,25.0,33.0
200,208,003096.jpg,33.0,41.0
201,209,005704.jpg,23.0,31.0
202,210,002753.jpg,20.0,28.0
203,211,004569.jpg,19.0,23.0
204,212,005403.jpg,34.0,42.0
205,213,001404.jpg,19.0,25.0
206,214,003439.jpg,42.0,50.0
207,215,006830.jpg,25.0,33.0
208,216,002234.jpg,22.0,30.0
209,217,005241.jpg,23.0,31.0
